231.47,0.57,132.43,0.00,0.00,0.00,270.71,0.29,73.65,0.00,0.16,0.00,0.00,0.13,0.00
231.40,0.35,81.45,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.15,0.00,0.00,0.12,0.00
231.53,0.24,56.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.10,0.00
232.02,0.22,50.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.08,0.00
232.30,0.21,48.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.08,0.00
231.10,0.20,46.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.08,0.00
232.69,0.19,44.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.08,0.00
229.90,0.19,43.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.07,0.00
230.51,0.18,41.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.07,0.00
229.73,0.17,40.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.07,0.00
229.02,0.16,37.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.06,0.00
231.27,0.16,36.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.06,0.00
230.65,0.15,35.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.06,0.00
230.15,0.15,33.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.06,0.00
229.79,0.15,33.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.06,0.00
231.70,0.14,31.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.05,0.00
232.36,0.08,18.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00
232.43,0.08,18.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00
232.00,0.08,18.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00
231.39,0.08,17.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00
231.13,0.07,16.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00
229.97,0.07,16.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00
230.98,0.07,15.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00
